"DUQ130.Code.or.Value","DUQ130.Value.Description","DUQ130.Count","DUQ130.Cumulative","DUQ130.Skip.to.Item"
"0 to 300","Range of Values",55,55,NA
"777","Refused",0,55,NA
"999","Don't know",0,55,NA
".","Missing",3344,3399,NA
