"TYXA213.Code.or.Value","TYXA213.Value.Description","TYXA213.Count","TYXA213.Cumulative","TYXA213.Skip.to.Item"
"0.336 to 4.003","Range of Values",234,234,NA
".","Missing",5351,5585,NA
