"BMXWAIST.Code.or.Value","BMXWAIST.Value.Description","BMXWAIST.Count","BMXWAIST.Cumulative","BMXWAIST.Skip.to.Item"
"39.6 to 165.2","Range of Values",9056,9056,NA
".","Missing",1421,10477,NA
