"CIQD088.Code.or.Value","CIQD088.Value.Description","CIQD088.Count","CIQD088.Cumulative","CIQD088.Skip.to.Item"
"1","Yes",21,21,NA
"2","No",3,24,NA
"7","Refuse",0,24,NA
"9","Don't know",1,25,NA
".","Missing",753,778,NA
