"LBXME1.Code.or.Value","LBXME1.Value.Description","LBXME1.Count","LBXME1.Cumulative","LBXME1.Skip.to.Item"
"1","Sensitive",255,255,NA
"2","Resistant",116,371,NA
"3","Intermediate",1,372,NA
"4","No Result",0,372,NA
".","Missing",9557,9929,NA
