"LBXVCT.Code.or.Value","LBXVCT.Value.Description","LBXVCT.Count","LBXVCT.Cumulative","LBXVCT.Skip.to.Item"
"0.0035 to 0.111","Range of Values",2812,2812,NA
".","Missing",603,3415,NA
