"BIXC115K.Code.or.Value","BIXC115K.Value.Description","BIXC115K.Count","BIXC115K.Cumulative","BIXC115K.Skip.to.Item"
"32.28 to 124.37","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
