"LBXSEL.Code.or.Value","LBXSEL.Value.Description","LBXSEL.Count","LBXSEL.Cumulative","LBXSEL.Skip.to.Item"
"51 to 313","Range of Values",2903,2903,NA
".","Missing",4661,7564,NA
