"URDMMILC.Code.or.Value","URDMMILC.Value.Description","URDMMILC.Count","URDMMILC.Cumulative","URDMMILC.Skip.to.Item"
"0","At or above the detection limit",8,8,NA
"1","Below lower detection limit",2371,2379,NA
".","Missing",233,2612,NA
