"BHD050.Code.or.Value","BHD050.Value.Description","BHD050.Count","BHD050.Cumulative","BHD050.Skip.to.Item"
"1 to 70","Range of Values",4294,4294,NA
"777","Refused",0,4294,NA
"999","Don't know",14,4308,NA
".","Missing",465,4773,NA
