"LBDTC2LC.Code.or.Value","LBDTC2LC.Value.Description","LBDTC2LC.Count","LBDTC2LC.Cumulative","LBDTC2LC.Skip.to.Item"
"0","detectable result",0,0,NA
"1","below detectable limit",1215,1215,NA
".","Missing",1332,2547,NA
