"CIQG17C.Code.or.Value","CIQG17C.Value.Description","CIQG17C.Count","CIQG17C.Cumulative","CIQG17C.Skip.to.Item"
"1","Yes",56,56,NA
"2","No",35,91,NA
"7","Refused",0,91,NA
"9","Don't know",0,91,NA
".","Missing",687,778,NA
