"AUXLR202.Code.or.Value","AUXLR202.Value.Description","AUXLR202.Count","AUXLR202.Cumulative","AUXLR202.Skip.to.Item"
"-28 to 61","Range of Values",1664,1664,NA
".","Missing",143,1807,NA
