"AUAFMANR.Code.or.Value","AUAFMANR.Value.Description","AUAFMANR.Count","AUAFMANR.Cumulative","AUAFMANR.Skip.to.Item"
"1","None",1882,1882,NA
"2","500 Hz",1,1883,NA
"3","1000 Hz",0,1883,NA
"4","2000 Hz",1,1884,NA
"5","3000 Hz",2,1886,NA
"6","4000 Hz",2,1888,NA
"7","6000 Hz",6,1894,NA
"8","8000 Hz",12,1906,NA
".","Missing",140,2046,NA
