"OPDSSID.Code.or.Value","OPDSSID.Value.Description","OPDSSID.Count","OPDSSID.Cumulative","OPDSSID.Skip.to.Item"
"0","No",2246,2246,NA
"1","Yes",85,2331,NA
".","Missing",603,2934,NA
