"DS2INIAC.Code.or.Value","DS2INIAC.Value.Description","DS2INIAC.Count","DS2INIAC.Cumulative","DS2INIAC.Skip.to.Item"
"0.156 to 1200","Range of Values",1782,1782,NA
".","Missing",4121,5903,NA
