"WTSPO03.Code.or.Value","WTSPO03.Value.Description","WTSPO03.Count","WTSPO03.Cumulative","WTSPO03.Skip.to.Item"
"0.0000000 to 846902.6216800","Range of Values",0,0,NA
"0","0",2274,2274,NA
".","Missing",0,2274,NA
