"WBXF043.Code.or.Value","WBXF043.Value.Description","WBXF043.Count","WBXF043.Cumulative","WBXF043.Skip.to.Item"
"1259.921 to 1259.921","Range of Values",8554,8554,NA
".","Missing",0,8554,NA
