"BPAOMNTS.Code.or.Value","BPAOMNTS.Value.Description","BPAOMNTS.Count","BPAOMNTS.Cumulative","BPAOMNTS.Skip.to.Item"
"-37245 to 56014","Range of Values",6144,6144,NA
".","Missing",988,7132,NA
