"DS1ICAFF.Code.or.Value","DS1ICAFF.Value.Description","DS1ICAFF.Count","DS1ICAFF.Cumulative","DS1ICAFF.Skip.to.Item"
"2 to 170","Range of Values",7,7,NA
".","Missing",5687,5694,NA
