"RDQ100.Code.or.Value","RDQ100.Value.Description","RDQ100.Count","RDQ100.Cumulative","RDQ100.Skip.to.Item"
"1","Yes",603,603,NA
"2","No",747,1350,NA
"7","Refused",0,1350,NA
"9","Don't know",15,1365,NA
".","Missing",9105,10470,NA
