"CSXSLTST.Code.or.Value","CSXSLTST.Value.Description","CSXSLTST.Count","CSXSLTST.Cumulative","CSXSLTST.Skip.to.Item"
"1","Salty",3128,3128,NA
"2","Bitter",34,3162,NA
"3","Something else",23,3185,NA
"4","No Taste",1,3186,NA
"5","Sour",31,3217,NA
".","Missing",491,3708,NA
