"MCQ260AE.Code.or.Value","MCQ260AE.Value.Description","MCQ260AE.Count","MCQ260AE.Cumulative","MCQ260AE.Skip.to.Item"
"5","Father's mother",279,279,"MCQ250B"
".","Missing",10191,10470,""
