"AUDTYR23.Code.or.Value","AUDTYR23.Value.Description","AUDTYR23.Count","AUDTYR23.Cumulative","AUDTYR23.Skip.to.Item"
"0 to 2.44","Range of Values",1140,1140,NA
".","Missing",70,1210,NA
