"AUXU1K1L.Code.or.Value","AUXU1K1L.Value.Description","AUXU1K1L.Count","AUXU1K1L.Cumulative","AUXU1K1L.Skip.to.Item"
"-10 to 120","Range of Values",1674,1674,NA
"666","No response",0,1674,NA
"888","Could not obtain",0,1674,NA
".","Missing",133,1807,NA
