"LBXTCDLA.Code.or.Value","LBXTCDLA.Value.Description","LBXTCDLA.Count","LBXTCDLA.Cumulative","LBXTCDLA.Skip.to.Item"
"0.3 to 42.7","Range of Values",1228,1228,NA
".","Missing",1319,2547,NA
