"AUXLR132.Code.or.Value","AUXLR132.Value.Description","AUXLR132.Count","AUXLR132.Cumulative","AUXLR132.Skip.to.Item"
"-20 to 67","Range of Values",2152,2152,NA
".","Missing",216,2368,NA
