"LBDD03LC.Code.or.Value","LBDD03LC.Value.Description","LBDD03LC.Count","LBDD03LC.Cumulative","LBDD03LC.Skip.to.Item"
"0","detectable result",1507,1507,NA
"1","below detectable limit",364,1871,NA
".","Missing",414,2285,NA
