"LBXDP6.Code.or.Value","LBXDP6.Value.Description","LBXDP6.Count","LBXDP6.Cumulative","LBXDP6.Skip.to.Item"
"2.18 to 126","Range of Values",4274,4274,NA
".","Missing",1369,5643,NA
