"URXMAL.Code.or.Value","URXMAL.Value.Description","URXMAL.Count","URXMAL.Cumulative","URXMAL.Skip.to.Item"
"0.35 to 38.35","Range of Values",2581,2581,NA
".","Missing",113,2694,NA
