"DR1TIRON.Code.or.Value","DR1TIRON.Value.Description","DR1TIRON.Count","DR1TIRON.Cumulative","DR1TIRON.Skip.to.Item"
"0 to 99.81","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
