"MCQ120D.Code.or.Value","MCQ120D.Value.Description","MCQ120D.Count","MCQ120D.Cumulative","MCQ120D.Skip.to.Item"
"1","Yes",140,140,NA
"2","No",2588,2728,NA
"7","Refused",0,2728,NA
"9","Don't know",4,2732,NA
".","Missing",6761,9493,NA
