"URXUCRSI.Code.or.Value","URXUCRSI.Value.Description","URXUCRSI.Count","URXUCRSI.Cumulative","URXUCRSI.Skip.to.Item"
"442 to 68422","Range of Values",8373,8373,NA
".","Missing",274,8647,NA
