"DXXLSBMD.Code.or.Value","DXXLSBMD.Value.Description","DXXLSBMD.Count","DXXLSBMD.Cumulative","DXXLSBMD.Skip.to.Item"
"0.441 to 1.84","Range of Values",4946,4946,NA
".","Missing",834,5780,NA
