"LBDSBUSI.Code.or.Value","LBDSBUSI.Value.Description","LBDSBUSI.Count","LBDSBUSI.Cumulative","LBDSBUSI.Skip.to.Item"
"0.71 to 28.2","Range of Values",5901,5901,NA
".","Missing",500,6401,NA
