"HIQ105.Code.or.Value","HIQ105.Value.Description","HIQ105.Count","HIQ105.Cumulative","HIQ105.Skip.to.Item"
"1","Yes",767,767,NA
"2","No",88,855,NA
".","Missing",8901,9756,NA
