"URDUPBLC.Code.or.Value","URDUPBLC.Value.Description","URDUPBLC.Count","URDUPBLC.Cumulative","URDUPBLC.Skip.to.Item"
"0","At or above the detection limit",2170,2170,NA
"1","Below lower detection limit",388,2558,NA
".","Missing",115,2673,NA
