"AUDTYL37.Code.or.Value","AUDTYL37.Value.Description","AUDTYL37.Count","AUDTYL37.Cumulative","AUDTYL37.Skip.to.Item"
"0 to 2.28","Range of Values",1672,1672,NA
".","Missing",135,1807,NA
