"WTSCI07.Code.or.Value","WTSCI07.Value.Description","WTSCI07.Count","WTSCI07.Cumulative","WTSCI07.Skip.to.Item"
"0 to 473177.70915","Range of Values",727,727,NA
".","Missing",51,778,NA
