"DUQ220U.Code.or.Value","DUQ220U.Value.Description","DUQ220U.Count","DUQ220U.Cumulative","DUQ220U.Skip.to.Item"
"1","Days",249,249,NA
"2","Weeks",69,318,NA
"3","Months",190,508,NA
"4","Years",1059,1567,NA
"7","Refused",21,1588,NA
"9","Don't know",31,1619,NA
".","Missing",1666,3285,NA
