"BMXSAD4.Code.or.Value","BMXSAD4.Value.Description","BMXSAD4.Count","BMXSAD4.Cumulative","BMXSAD4.Skip.to.Item"
"11.1 to 39.8","Range of Values",353,353,NA
".","Missing",9191,9544,NA
