"LBDBCDLC.Code.or.Value","LBDBCDLC.Value.Description","LBDBCDLC.Count","LBDBCDLC.Cumulative","LBDBCDLC.Skip.to.Item"
"0","At or above the detection limit",5451,5451,NA
"1","Below lower detection limit",2469,7920,NA
".","Missing",1036,8956,NA
