"MSDPF.Code.or.Value","MSDPF.Value.Description","MSDPF.Count","MSDPF.Cumulative","MSDPF.Skip.to.Item"
"77 to 825","Range of Values",1500,1500,NA
".","Missing",656,2156,NA
