"BIXC018K.Code.or.Value","BIXC018K.Value.Description","BIXC018K.Count","BIXC018K.Cumulative","BIXC018K.Skip.to.Item"
"22.41 to 486.34","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
