"URDMNPLC.Code.or.Value","URDMNPLC.Value.Description","URDMNPLC.Count","URDMNPLC.Cumulative","URDMNPLC.Skip.to.Item"
"0","At or above the detection limit",284,284,NA
"1","Below lower detection limit",2320,2604,NA
".","Missing",114,2718,NA
