"MPQ090.Code.or.Value","MPQ090.Value.Description","MPQ090.Count","MPQ090.Cumulative","MPQ090.Skip.to.Item"
"1","Yes",1003,1003,NA
"2","No",4035,5038,NA
"7","Refused",0,5038,NA
"9","Don't know",2,5040,NA
".","Missing",1,5041,NA
