"OPDSNOT.Code.or.Value","OPDSNOT.Value.Description","OPDSNOT.Count","OPDSNOT.Cumulative","OPDSNOT.Skip.to.Item"
"0","None",270,270,NA
"1","Inferior",11,281,NA
"2","Superior",2,283,NA
"3","Both",4,287,NA
"4","Ungradable",10,297,NA
".","Missing",2637,2934,NA
