"RFXT128.Code.or.Value","RFXT128.Value.Description","RFXT128.Count","RFXT128.Cumulative","RFXT128.Skip.to.Item"
"1114 to 1123","Range of Values",51056,51056,NA
".","Missing",20,51076,NA
