"SSGI4OD1.Code.or.Value","SSGI4OD1.Value.Description","SSGI4OD1.Count","SSGI4OD1.Cumulative","SSGI4OD1.Skip.to.Item"
"0 to 3.5","Range of Values",946,946,NA
".","Missing",0,946,NA
