"LBCHCB.Code.or.Value","LBCHCB.Value.Description","LBCHCB.Count","LBCHCB.Cumulative","LBCHCB.Skip.to.Item"
"23.57 to 160.8","Range of Values",284,284,NA
".","Missing",0,284,NA
