"LBXD01.Code.or.Value","LBXD01.Value.Description","LBXD01.Count","LBXD01.Cumulative","LBXD01.Skip.to.Item"
"5.37 to 579.6","Range of Values",1236,1236,NA
".","Missing",1311,2547,NA
