"LBDD05LC.Code.or.Value","LBDD05LC.Value.Description","LBDD05LC.Count","LBDD05LC.Cumulative","LBDD05LC.Skip.to.Item"
"0","detectable result",1820,1820,NA
"1","below detectable limit",54,1874,NA
".","Missing",411,2285,NA
