"SSGI4C2.Code.or.Value","SSGI4C2.Value.Description","SSGI4C2.Count","SSGI4C2.Cumulative","SSGI4C2.Skip.to.Item"
"0 to 100000","Range of Values",896,896,NA
".","Missing",50,946,NA
