"DRXTVB2.Code.or.Value","DRXTVB2.Value.Description","DRXTVB2.Count","DRXTVB2.Cumulative","DRXTVB2.Skip.to.Item"
"0 to 19.033","Range of Values",9701,9701,NA
".","Missing",776,10477,NA
