"LBDSGBSI.Code.or.Value","LBDSGBSI.Value.Description","LBDSGBSI.Count","LBDSGBSI.Cumulative","LBDSGBSI.Skip.to.Item"
"12 to 71","Range of Values",6422,6422,NA
".","Missing",558,6980,NA
