"OPDSFAN.Code.or.Value","OPDSFAN.Value.Description","OPDSFAN.Count","OPDSFAN.Cumulative","OPDSFAN.Skip.to.Item"
"0","No",2312,2312,NA
"1","Questionable",84,2396,NA
"2","Yes",27,2423,NA
".","Missing",511,2934,NA
