"AUXLR261.Code.or.Value","AUXLR261.Value.Description","AUXLR261.Count","AUXLR261.Cumulative","AUXLR261.Skip.to.Item"
"-46 to 71","Range of Values",2754,2754,NA
".","Missing",280,3034,NA
