"DR2IS180.Code.or.Value","DR2IS180.Value.Description","DR2IS180.Count","DR2IS180.Cumulative","DR2IS180.Skip.to.Item"
"0 to 23.319","Range of Values",99780,99780,NA
".","Missing",900,100680,NA
