"AUXTMEPL.Code.or.Value","AUXTMEPL.Value.Description","AUXTMEPL.Count","AUXTMEPL.Cumulative","AUXTMEPL.Skip.to.Item"
"-299 to 173","Range of Values",2661,2661,NA
".","Missing",470,3131,NA
