"URDNATLC.Code.or.Value","URDNATLC.Value.Description","URDNATLC.Count","URDNATLC.Cumulative","URDNATLC.Skip.to.Item"
"0","At or above detection limit",1469,1469,NA
"1","Below lower detection limit",6443,7912,NA
".","Missing",379,8291,NA
