"DR1TSFAT.Code.or.Value","DR1TSFAT.Value.Description","DR1TSFAT.Count","DR1TSFAT.Cumulative","DR1TSFAT.Skip.to.Item"
"0 to 177.467","Range of Values",8531,8531,NA
".","Missing",1282,9813,NA
