"DR2INIAC.Code.or.Value","DR2INIAC.Value.Description","DR2INIAC.Count","DR2INIAC.Cumulative","DR2INIAC.Skip.to.Item"
"0 to 201.574","Range of Values",111931,111931,NA
".","Missing",647,112578,NA
