"DSD070.Code.or.Value","DSD070.Value.Description","DSD070.Count","DSD070.Cumulative","DSD070.Skip.to.Item"
"1","Yes",7009,7009,NA
"2","No",1372,8381,NA
".","Missing",35,8416,NA
