"LBDSTBLC.Code.or.Value","LBDSTBLC.Value.Description","LBDSTBLC.Count","LBDSTBLC.Cumulative","LBDSTBLC.Skip.to.Item"
"0","At or above detection limit",5902,5902,NA
"1","Below lower detection limit",1,5903,NA
".","Missing",498,6401,NA
